id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
10197,2020-11-07,FV LOBSTER MANIA,"jonesport, maine",44.23916667,-67.63722222,Oil,,Diesel Fuel,,,,,,250,0,"At 11:30am on 7 November 2020, USCG Sector Northern New England notified the NOAA SSC that the FV LOBSTER MANIA, which was involved in a SAR case, is partially submerged and leaking diesel fuel, 17 nmi due east of Jonesport, Maine. Vessel has an estimated 500 gallons of fuel on board.  USCG requested a trajectory."
10191,2020-10-26,M/V WILD WAVE aground,"Avalon, CA",33.35,-118.326667,Oil,,Diesel,,,,,,200,0,"On October 26, 2020, the USCG Sector LA/LB contacted their NOAA SSC about the pleasure craft M/V WILD WAVE that was aground on Descanso Beach, in Avalon, CA (Santa Catalina Island).  USCG reports that the vessel has a potential of 200 gallons of diesel on board.  It is likely to break up before the vessel can be recovered.  Sector LA/LB requested a hypothetical ""what if"" trajectory in the event a spill occurs."
10183,2020-10-13,High Island 330 Sheen,Offshore Texas,28.0973385,-93.50274218,Oil,,Diesel,,,,,,2000,0,"On October 13, 2020 a light sheen was noted near the Genesis Energy G03302 unmanned platform located in High Island Block 330.  The platform produces natural gas, and the sheen is believed to be due to a 2,000 gallon diesel tank on the platform deck.  Platform is located approximately 112 nm offshore and remains shut in following Hurricane Delta.  MSU Texas City requested evaluation of potential shoreline impact.  Small diesel fact sheet provided."
10175,2020-09-28,"YM MANDATE, Jersey City, NJ","51 Port Terminal Blvd, Bayonne, NJ 07002, USA",40.6626707362225,-74.0714550018311,Oil,,oil,1,1,,,,1000,0,"On September 28, 2020, USCG Sector New York notified the NOAA SSC that the containership YM MANDATE was leaking oil from a hole in its hull at the Global Marine Terminal, Bayonne, NJ. . No information as to the estimated volume spilled. Cause unknown at this time. OSRO's on-scene placing boom around the vessel."
10172,2020-09-22,F/V RELUCTANT aground,"Port Frederick, AK",58003,-135.62766667,Oil,,diesel,,,,,,150,0,"The F/V RELUCTANT ran aground in Port Frederick, AK at around 0830 hrs on 22-SEP-2020.  The owner reports that the vessel has 150 gallons of diesel fuel on board with a capacity of 280 gallons. NRC report indicates a 20x20 ft sheen.  USCG Sector Juneau contacted the NOAA SSC covering AK to request oil fate & trajectory for a potential catastrophic release from the vessel."
10162,2020-08-31,FV SAAMI Aground,"Sitka, AK",56.991389,-135.443889,Oil,,diesel,,,,,,500,0,"On 29-Aug-2020, the FV SAAMI ran aground on Kulichkof Rocks in Sitka Sound. The vessel was abandoned and then caught fire. Approximately 500 gallons of diesel were on board at the time of the grounding. USCG MSD Sitka is requesting a fates and trajectory analysis."
10165,2020-08-31,SM-3 Barge Grounding,"Ekuk, AK",58.7859969413012,-158.49380495958,Oil,,diesel,,,,,,5000,0,"On 31-Aug-2020, Sector Anchorage received notification of a potential release of diesel into Nushagak Bay from a grounded barge. The vessel went aground due to a broken anchor chain in bad weather. Potential of 5000 gallons of diesel onboard. Notification only at this time. No products have currently been requested."
10157,2020-08-27,FV Ginny O Submerged,"Crawfish Inlet, Sitka, AK",56.79803,-135.0917,Oil,,diesel,,,,,,1800,0,"On 25-Aug-2020, Sector Juneau reported that the FV GINNY O was sinking in Crawfish Inlet south of Sitka. The vessel has a maximum fuel capacity of 3500 gallons. The vessel is boomed off, and the fuel vents were plugged.  The sheening observed was very light and is contained within the boom. The vessel was not actively sheening."
10158,2020-08-27,FV Lady Ashley,"Karluk, AK",57.64,-154.34653,Oil,,diesel,,,,,,200,0,"On 27-Aug-2020, MSD Kodial reported that the FV LADY ASHLEY hit a submerged rock, was taking on water, and was then intentionally beached to prevent from sinking.  The vessel reportedly has 200 gallons of diesel fuel on board and did not appear to be leaking fuel after the intentional grounding. MSD Kodiak is still investigating and has asked NOAA to stand by for potential requests for science support."
10153,2020-08-21,CFV PHUONG MAI St Mary's Ga,"Camden County, GA, USA",30.71833333,-81.40666667,Oil,,diesel,,,,,,100,0,"On August 20, 2020, the 40-ft. fishing vessel Phuong Mai ran aground and sank in St. Mary's Inlet, GA.  The fishing gear was deployed at the time of the sinking.  The USCG Sector Jacksonville requested an Incident Specific RRT call to determine the best course of action for the disposal of the marine debris and ensuring the channel to King's Bay Naval base remains unobstructed."
10156,2020-08-21,MY NO FILTER Fire and Sinking,"offshore Ocean City, MD, USA",38.0556608824208,-75.1567840576172,Oil,,Diesel Fuel,,,,,,200,0,"On August 21, 2020, the USCG Sector Maryland notified the NOAA SSC that a 60-foot long yacht had caught fire and partially capsized 2 miles offshore and 2 miles north of Chincoteague Island, Virginia. On 25 August, Sector Maryland requested a review of the proposed salvage plan and stakeholder coordination."
10150,2020-08-20,Ferry Vessel ISLAND DUCHESS aground,"Wellesley Island, NY, USA",44.37122222,-75.90627778,Oil,,diesel,,,,,,1500,0,"On August 20th, 2020, the NOAA Great Lakes SSC was notified of F/V ISLAND DUCHESS aground in the St. Lawrence river with 138 passengers and 1500 gallons of marine diesel on board, though nothing has spilled. The vessel is stable, at anchor, and not taking on water. All passengers transferred to an empty ferry vessel with USCG escort. USCG Sector Buffalo requesting trajectory and fate if release does occur. Canada and local tribes have been notified."
10151,2020-08-20,TPIC MP35 Produced Water Discharge,"Main Pass 35, LA, USA",29.45111111,-89.40333333,Oil,,Produce water/oil,,,,,,31500,0,"On August 19, 2020, the USCG Sec NOLA was notified of a collapsed platform and produced water tank in Main Pass 35. Lines have been shut-in. Release secured. Approximately 750 bbl of produced water were discharged.  Rainbow sheen in the area.  SSC provided phone support. No shoreline impact anticipated."
10142,2020-08-08,HANTA YO Sinking,"Uyak Bay, Kodiak Island, AK",57.66833,-154.21833,Oil,,diesel,,,,,,200,0,"On August 8, 2020, the USCG contacted the NOAA SSC for support on a sunken fishing vessel. The USCG MSD Kodiak is providing oversight in response to the fishing vessel HANTA YO, sunken or partially sunken, 45-foot aluminum-hulled, in the vicinity of Uyak Bay. Planned response actions are pending, the owner is working with his insurance company to work through removing the 200 gallons of diesel fuel from the vessel.  MSD Kodiak has requested NOAA SSC stand by and provide phone support with regard to potential trust resource concerns in the vicinity."
10141,2020-08-07,SHADUBE II Aground,"Heather Island, Columbia Bay, AK",60.95588,-147.06275,Oil,,gas and heating oil,,,,,,72,0,"On 01-Aug-2020, MSU Valdez received notification that a 32-foot sailing vessel, Shadube II, ran aground near Heather Island, in Columbia Bay. There was 45 gallons of gasoline and 27 gallons of heating oil on board. Due to unsatisfactory response by the owner, USCG opened the OSLTF and authorized a contractor to remove hazardous materials. MSU Valdez requested NOAA SSC support for marine mammal BMPs during response."
10137,2020-08-05,Gunslinger Vessel Aground,"False Pass, AK",54.8686389400983,-163.405723578762,Oil,,diesel,,,,,,350,0,"On 5-Aug-20, Sector Anchorage notified NOAA SSC of a 29-foot fishing vessel grounding approximately one mile north of False Pass, Alaska in Bechevin Bay. The vessel contains 350 gallons of diesel and approximately 20 gallons of hydraulic oils. SAR is active. Sector is requesting a fates and trajectory analysis."
10136,2020-08-04,Pacific Jade Aground,"Whale Island, Kodiak, AK",57.92833,-152.82167,Oil,,diesel,,,,,,500,0,"On 01-Aug-2020, the FV Pacific Jade ran aground in Whale Passage due to an equipment failure that lead to loss of power and steerage.  The vessel has 500 gallons of diesel onboard.  MSD Kodiak is requesting NOAA SSC review of response plans to lighter the fuel."
10135,2020-08-02,S/V PLAYTIME sunk,"North of Point Arena, CA",39.22028,-123.83222,Oil,,Diesel,,,,,,50,0,"On 02-AUG-2020, USCG Marine Safety Detachment Humboldt Bay contacted their NOAA SSC for input on potential shoreline oiling of a sunken vessel 2.5 NM offshore.  The 45’ S/V PLAYTIME sank during the night with roughly 50 gallons of diesel and one gallon of lube oil on board.  All passengers were safely rescued, but the S/V is believed sunk in over 100’ of water."
10128,2020-07-28,FV Viking Star Riper Sinks off Coast of New Jersey,"Offshore, Barnegat, NJ",39.4644710032924,-74.0661623328924,Oil,,Diesel Fuel,,,,,,1100,0,"On 28 July 2020, USCG Sector Delaware Bay notified the NOAA SSC that a 60 ft fishing vessel sank 30 NMI east of Barnegat Light, NJ. The vessel had over 1,000 gallons of diesel fuel onboard. No pollution observed at the time incident was reported."
10129,2020-07-28,"Vessel Capsizes at Naval Station Norfolk, VA","Norfolk, VA",36.9625117765982,-76.3158416748047,Oil,,Diesel Fuel,1,1,,,,400,0,"On 28 July 2020, USCG Sector Virginia notified the NOAA SSC that a privately owned charter vessel with 400 gallons of diesel fuel onboard, sank, and capsized in Willoughby Bay, Norfolk, Virginia, adjacent to the US Navy's Naval Station. USCG requested an informal ESA emergency consultation. No pollution reported at this time. Salvage operations are underway."
10125,2020-07-21,CGC NAUSHON Fuel Spill,"Womens Bay, Kodiak, AK",57.707667,-152.5223167,Oil,,diesel,,,,,,204,0,"On 08-Jul-2020, the CGC NAUSHON discharged approximately 204 gallons of diesel into Womens Bay during and internal fuel transfer. MSD Kodiak has requested NOAA Science Support in determining the amount of the release based on observed fate of the sheen."
10122,2020-07-14,Hackberry Oil Field Valve Leak,Louisiana,30.01638889,-93.32063889,Oil,,Crude Oil,1,,,,,2000,0,"On June 12, 2020, a discharge of crude oil into Calcasieu Lake from a non-operational well was reported (NRC#1281686).  Discharge is from a failed valve, not secured.  OSRO is on-site, conducting skimming operations, and oil is contained by boom.  As of June 14, source is still not secure.  Response operations ongoing, with an estimated 1,000-2,000 gallons of oil present in boom.  Boom is containing oil.  MSU Lake Charles requested trajectory in the event boom fails."
10120,2020-07-12,USS BonHomme Richard on fire,"3400 Senn St, San Diego, CA",32.6832378898011,-117.132146357975,Oil,,Diesel,,,,,,786000,0,"At roughly 0830 hrs Pacific, 12-JUL-2020 there was an explosion and subsequent fire on-board the USS Bonhomme Richard (an 843' US Navy amphibious assault ship) moored in San Diego, CA.  The fire continued for several days.  The USCG Sector San Diego contacted the NOAA SSC to request a hypothetical “what if” trajectory to guide a first light overflight in the event of a release overnight.  An estimated 900,000 gallons of diesel is on-board."
10101,2020-06-12,Crude Oil Discharge in Baptiste Collete Bayou area,"Venice, LA 70091, USA",29.32194444,-89.29111111,Oil,,Oil,,,,,,10,0,"On June 11, 2020, the USCG Sector New Orleans Incident Management Division (IMD) received NRC report #1279374 stating that LOBO Tank Battery 1 discharged an estimated 10 gallons of crude oil into an unnamed canal in the Baptiste Collete Bayou area. OSRO on site, IMD will continue to work with the responsible party to monitor the situation."
10099,2020-06-09,"Tug Lee W - Barge Collision, Bolivar. TX","Port Bolivar, TX",29.40502778,-94.74330556,Oil,,Condensate,,,,,,163800,0,"On June 9, 2020, the Tug Lee W collided with its forward barge, causing a 1.5 ft gash above the waterline in the forward tank.  Potential of 3,900 bbl condensate in the damaged tank.  An unknown amount of product discharged into ICW.  Boom deployed around the vessel, but product confirmed outside area and moving eastward.  (NRC#1279187)"
10093,2020-05-25,Un-Manned Rocket Failure,"near San Nicolas Island, CA",33.1,-119.79972222,Other,,RP-1 Kerosene fuel,,,,,,1600,0,"On 25-MAY-2020, a 70 foot long, un-manned rocket was launched from an aircraft at 35,000’ altitude with 13,500 pounds of RP1 Kerosene fuel on-board (roughly 1,600 gallons).   Shortly after launch, two explosions occurred destroying the rocket and causing it to fall to the water roughly 80-90 miles off the coast of Long Beach, CA.  On the evening of 26-MAY-2020, USCG Sector LA/Long Beach contacted their NOAA SSC to request a drift estimate of fuel and/or debris."
10086,2020-05-13,"Tug ""Lucedale"" Mile Marker 279 Ohio River","Ashton, WV 25503, USA",38.67816667,-82.18633333,Oil,,DIESEL,,,,,,2300,0,"On May 13, 2020, USCG MSU Huntington contacted the NOAA SSC requesting support for a Tug discharging diesel fuel at MM 279 of the Ohio River (LAT 38 40.69, LONG -82 11.039). Unknown cause, unknown amount. Worst case discharge (WCD) estimate is 2300 GAL.  USCG is requesting assessment of WCD travel distance and location of nearest water intake."
10085,2020-05-07,"Fishing Vessel ""Bay of Isle"" Aground, Barnegat Inlet, NJ","Barnegat Light, NJ, USA",39.7585398156103,-74.0946292877197,Oil,,Diesel Fuel,0,,,,,150,0,"USCG Sector Delaware Bay notified the NOAA SSC at 9:30am on 7 May 2020 that a 45 ft long commercial fishing vessel was hard aground on the south side jetty in Barnegat Inlet, New Jersey. Vessel has 500 gallons on board. No pollution reported at this time. USCG requested trajectory and resources at risk support."
10084,2020-05-07,"Navy Vessel Diesel Spill, York River, VA","Yorktown, VA, USA",37.25619444,-76.53505556,Oil,,Diesel Fuel,1,,,,,4000,0,"At 0900 on 7 May 2020, USCG Sector Virginia notified the NOAA SSC that approximately 2,000-4,000 gallons of diesel fuel has been released into the York River at Gloucester Point from a Navy vessel. USCG and VADEQ going on-scene to investigate. USCG has not made any requests for NOAA support at this time."
10081,2020-04-30,P/C GOING COASTAL sinking,"off Carmel, CA",36.4367,-121997,Oil,,diesel,,,,,,5000,0,"On 30-APR-2020, USCG Sector San Francisco contacted their NOAA SSC to report a 90’ Pleasure Craft GOING COASTAL that was reportedly sinking roughly four miles offshore, just south of Carmel Bay, CA.  The vessel is believed to be carrying up to 5,000 gallons of diesel fuel. USCG requested a spill trajectory."
10072,2020-04-16,PV Bella Vita Sinking,"Cochrane Bay, Prince William Sound, Alaska",60.664722,-148.379167,Oil,,diesel,,,,,,700,0,"On 15-Apr-2020, the 60’ P/V Bella Vita struck a submerged pinnacle rock in Cochrane Bay in Prince William Sound.  The vessel captain was forced to abandon ship.  The vessel sank in 800’ of water.  The two passengers were rescued by a nearby good samaritan vessel. The Bella Vita has an estimated 700 gallons of diesel on board, along with a small amount of engine oil.  No release or sheen has yet occurred. The Alaska DEC has requested NOAA to provide trajectory and fates analysis."
10070,2020-04-13,Tug ALBERT/Barge MARGARET Grounding,"Grosse Pointe Park, MI",42.35927,-82.9061,Oil,,Diesel,,,,,,3990000,0,"On the morning of April 13, 2020, the Tug ALBERT ran aground while pushing a double-hulled barge with 95,000 gallons of diesel aboard. There are no reports of pollution at this time. USCG is requesting a trajectory and resources at risk."
10071,2020-04-12,VMT Sump Release,"Valdez, AK",61.091633,-146.391867,Oil,,North Slope Crude,1,1,,,,620,0,"At 2000 hrs on 12-Apr-2020, USCG Marine Safety Unit Valdez was notified of an oily water discharge from the Valdez Marine Terminal into Port Valdez. A 180' x 50' silver sheen was observed at Berth 4. The source is a failed sump that has been secured.  Phone support at this time."
10069,2020-04-10,Bryan Mound Incident,"Freeport, TX",28.92055556,-95.37777778,Oil,,Oil,,1,,,,8400,0,"On April 7, 2018, a buried pipeline discharged a reported 200 bbl oil at the Bryan Mound Strategic Petroleum Reserve site in Freeport, TX.  The discharge location is in the EPA zone.  The majority of the oil remains in the soil or on the ground near the discharge site, although some oil has migrated to Blue Lake, a non-navigable waterway.  RP, ExxonMobile Pipeline Company is responding."
10066,2020-04-07,FV Freyja Salvage,"Unalaska Island, AK",53.98787,-166.87589,Oil,,diesel,,,,,,1200,0,Process has begun for the salvage and removal of the grounded FV Freyja. The Freyja grounded on Unalaska Island in March 2019. Removal may include scuttling at sea. NOAA SSC has been requested to assist with contacts and permits.
10062,2020-03-27,SEAPA Submarine Cable Removal,"Stikine Channel, AK",56.43701,-132.56155,Oil,,dielectric fluids,,,,,,212,0,The Southeast Alaska Power Agency (SEAPA) seeks to replace an electrical submarine power cable in the Stikine crossing between the islands of Woronkofski and Vank to maintain reliable power for the Petersburg Borough. Cable replacement will require removal of the existing oil‐filled cable and installation of a new cable.  Worst case discharge would be the entire length of the cable; 18000 feet with an amount of approximately 212 gallons of dielectric fluid. USCG Sector Juneau requested the NOAA SSC provide input on ESA listed species in the vicinity of the project.
10058,2020-03-16,M/V HON JAMES L OBERSTAR Fueling Spill,"425 Banks Ave, Superior, WI 54880, USA",46.7402,-92.0955,Oil,,Diesel,1,,,,,500,0,"On the morning of March 15, 2020, the M/V HON JAMES L OBERSTAR, spilled during fueling in Howards Bay  (Fraser Shipyard), Superior, WI. The vessel was reported to have discharged 100-200 gallons of diesel fuel into the water. The cause was found to be a hydraulic quick closing valve that was not secured properly. The source of the discharge has been secured. OSRO was deployed and recovery operations have been completed. Notification only."
10056,2020-03-13,F/V SCOMAS grounded,"Bonita Cove, Marin County, CA",37.8241251858622,-122.508701349383,Oil,,Diesel,,,,,,600,0,"On the evening of 13-Mar-2020, USCG Sector San Francisco contacted NOAA’s Emergency Response Division about the grounded F/V SCOMAS. The vessel went aground at Black Sands Beach (west of Point Diablo near the SF Bay entrance) the previous day. USCG is concerned that the vessel will break up in upcoming wind/wave conditions and is requesting a trajectory for a potential release of 600 gallons of diesel."
10054,2020-03-10,Pleasure craft WILD WAVE,"Two Harbors, Santa Catalina Island, CA",33.422558807173,-118.505144119263,Oil,,Diesel,,,,,,800,0,"On the afternoon of 10-MAR-2020, USCG Sector LA/Long Beach contacted their NOAA SSC about an un-manned pleasure craft WILD WAVE that was dragging anchor outside of Catalina Harbor on Santa Catalina Island, CA.  It is a 65' wooden vessel (former trawler) with a potential of 400-800 gallons diesel on-board and is reportedly 30 yards offshore.  Sector LA/LB requests a hypothetical ""what if"" trajectory in the event it hits the rocks and discharges in the next two hours."
10041,2020-02-07,"Fishing Vessel Aground on Shackleford Banks, NC","Harkers Island, NC, USA",34.6521888771406,-76.6230469755828,Oil,,Diesel Fuel,,,,,,10000,0,"At 0900 on 7 February, 2020, USCG Sector North Carolina notified the NOAA SSC that a commercial fishing vessel went aground on Shackleford Banks, North Carolina. Vessel has 7,000-10,000 gallons of diesel onboard. No pollution reported at this time. USCG requested trajectory."
10042,2020-02-06,Small plane crash,"Arcata Bay, Eureka, CA",40.8242019984899,-124.142160415649,Oil,,Aviation fuel,,,,,,195,0,"On February 6, 2020, a small plane crashed into Arcata Bay near Eureka, CA.  The pilot was rescued with no injuries.  195 gallons of aviation fuel were reported to be on board, but no release was observed until later that afternoon.  Containment boom has been deployed, but wing tanks are difficult to access for pollutant removal.  USCG MSD Humboldt Bay contacted their NOAA SSC with an initial report and to request information regarding potential fuel exposure to nearby shellfish aquaculture site, roughly 0.5 NM away.  Subsequently, ERD has been providing oil fate/transport/mixing information to the state authorities responsible for fishery closures during oil spills."
10035,2020-02-01,"Tabbs Bay Discharge, Baytown, TX","Baytown, TX 77520, USA",29.7090345,-94.9843738,Oil,,Crude Oil,,,,,,1050,0,"On February 1, 2020, the USCG Sector Houston was notified of 10 - 15 bbl of dark crude oil discharging into Tabbs Bay, located northeast of Texas Ship Channel. The source was reported to be a well head pipeline but the reason for the discharge is currently unknown.  USCG called NOAA requesting trajectory. The source is reportedly secured."
10030,2020-01-16,LifeMed Airplane Crash,"Unalaska, AK",53.90944,-166.55638,Oil,,Jet A fuel,0,,,,,170,0,"On January 16, 2020, the USCG MSD Dutch Harbor reported than a LifeMed airplane crashed into the water off the north end of the Dutch Harbor runway into Unalaska Bay. All souls were rescued The fuselage has sunk and is actively sheening. Potential of 500 gallons of Av Gas onboard.  USCG has requested a trajectory and fates analysis."
10029,2020-01-14,FV Pappy's Pride,"Galveston, TX, USA",29.3371925669962,-94.6828599495348,Oil,,diesel,,,,,,14000,1,"On January 14, 2020, the 81-foot fishing vessel Pappy's Pride capsized after a collision with the 600-foot chemical tanker Bow Fortune near the Galveston jetties in Galveston, Texas.  Two fishermen were rescued. The search for the remaining two fishermen is ongoing.  Potential 14,000 gallons red-dyed diesel, tanks compromised at time of impact. USCG requested trajectory and resources at risk. The cause of the collision is under investigation."
10028,2020-01-01,FV Scandies Rose sinking,"Sutwik Island, Alaska",56.49172,-157.0178,Oil,,diesel,,,,,,120000,0,"On January 1, 2020, the USCG MSD Kodiak received notification of the FV Scandies Rose sinking due to high winds and heavy seas. It is unknown if there is a discharge at this time. Potential fuels on board include 120,000 gallons of diesel, 1200 gallons of lube oils, and 650 gallons of other oils.  USCG is requesting a fates and trajectory analysis for a potential release."
10026,2019-12-18,F/V MANDY JANE sunk,"off San Francisco, CA",37.74,-122.72,Oil,,diesel,,,,,,1000,1,"On December 19, 2019, the 52' F/V MANDY JANE was the subject of a search & rescue operation and sank about 12 NM WSW of the Golden Gate Bridge (37° 44.35N, 122° 43.08 W).  USCG Sector San Francisco contacted the NOAA SSC to request oil fate & trajectory support."
10025,2019-12-17,Sea View Harbor Vessel Fire,"Mystic Islands, NJ 08087, USA",39.5536124419003,-74.4246826507151,Oil,,Diesel Fuel,1,,,,,2000,0,"On December 17, 2019, the USCG Sector Delaware Bay notified the NOAA SSC about a fire that took place on 16 December 2019 at the Seaview Harbor Marine, Great Egg Harbor, NJ. Two vessels caught fire which resulted in the release of approximately 2,000 gallons of diesel fuel."
10023,2019-12-15,M/V TECUMSEH Engine Room Fire,"Windsor, ON, Canada",42.2772,-83.1011,Oil,,Diesel,,,,,,42000,0,"On the evening of December 15, 2019, M/V TECUMSEH was reported to be on fire in the vicinity of Zug Island on the Canadian side of the border. The vessel has 42,000 gallons of diesel on board. USCG is requesting a trajectory."
10019,2019-12-09,F/V SEA ANGELS Grounding,Browns Inlet NC,34.5934993700279,-77.2312316880561,Oil,,Diesel Fuel,,,,,,18000,2,"At 10:45 am on 9 Dec. 2019, USCG Sector North Carolina notified the NOAA SSC that the 100 foot long, F/V SEA ANGELS, was hard aground in Brown's Inlet, Onslow, County (near Swansboro), NC.  Vessel is listing and taking waves over its side.  Vessel has 15,000 gallons of diesel fuel onboard. No reports of any pollution or sheen reported at this time. USCG requested a NOAA GNOME trajectory."
10017,2019-12-04,Lake Pelto Equipment Failure,"Chauvin, LA 70344, USA",29.05986944,-90.72756111,Oil,,Crude Oil,,,,,,630,0,"On December 4, 2019, the USCG received a report of a pipeline spill due to equipment failure in Lake Pelto. USCG pollution responders are on site assessing the situation. NRC# 1265477."
10015,2019-12-02,Pleasure Craft MARCHELLE aground,"West side of Catalina Island, CA",33419,-118488,Oil,,Diesel,,,,,,800,0,"On the morning of 30-NOV-2019, the 33ft Pleasure Craft MARCHELLE ran aground on the west side of Catalina Island (near Two Harbors) with a maximum potential of 800 Gallons of diesel on board.  At the time, a 1/4 mile sheen was observed leading to the  west at high tide. On the morning of 02-DEC-2019, USCG Sector LA/Long Beach contacted the NOAA SSC to request a worst case (800 gallon) trajectory estimate in the event a release occurs during salvage operations scheduled for 1300 hrs on 02-DEC-2019."
10016,2019-11-27,"Grounded vessel, Kauai, HI","Fuji Beach, Kauai, HI",22.06333333,-159318,Oil,,gasoline,,,,,,70,0,"On the morning of November 26, USCG Sector Honolulu was notified of a 20-foot rigid hull inflatable boat beached and soft aground on Fuji Beach, Kauai, HI, on the shoreline adjacent to the World Mark Hotel Kapa’a Shore.  The vessel was overturned and discharging gasoline at a steady drip through the tank fuel cap.  The tank appeared to be intact and the discharge was initially being captured.  By the morning of November 27, the vessel had re-righted itself in the overnight tide and surf and was grounded further up on the beach.  There was no longer any sign of discharge.  USCG requested an assessment of trajectory and persistence of potential discharge of the gasoline on board, assuming a worst-case of 70 gallons based on tank capacity.  Verbal support was provided.  By the early afternoon of November 27, the vessel had been pulled out of the water and the owner had craned it onto a trailer.  No release of gasoline was reported."
